ts,op,key,payload_bytes,ok,rtt_ms,response
2026-01-15 21:49:55.570,GET,5085,0,0,88,NOT_FOUND
2026-01-15 21:49:55.661,GET,5429,0,0,28,NOT_FOUND
2026-01-15 21:49:55.696,SET,1354,1094,1,35,OK
2026-01-15 21:49:55.734,SET,4564,448,1,27,OK
2026-01-15 21:49:55.764,GET,4702,0,0,32,NOT_FOUND
2026-01-15 21:49:55.797,SET,7294,321,1,17,OK
2026-01-15 21:49:55.816,SET,2882,1830,1,23,OK
2026-01-15 21:49:55.840,SET,1608,1798,1,22,OK
2026-01-15 21:49:55.864,SET,958,577,1,16,OK
2026-01-15 21:49:55.881,GET,642,0,0,28,NOT_FOUND
2026-01-15 21:49:55.910,GET,1676,0,0,24,NOT_FOUND
2026-01-15 21:49:55.936,SET,3232,1301,1,16,OK
2026-01-15 21:49:55.954,SET,2058,364,1,15,OK
2026-01-15 21:49:55.971,SET,6439,1832,1,26,OK
2026-01-15 21:49:55.998,SET,9527,503,1,15,OK
2026-01-15 21:49:56.015,SET,7524,358,1,18,OK
2026-01-15 21:49:56.034,SET,2050,965,1,19,OK
2026-01-15 21:49:56.054,SET,5408,1149,1,18,OK
2026-01-15 21:49:56.074,SET,1723,1260,1,15,OK
2026-01-15 21:49:56.090,GET,3294,0,0,26,NOT_FOUND
2026-01-15 21:49:56.117,GET,6548,0,0,23,NOT_FOUND
2026-01-15 21:49:56.141,SET,4476,1878,1,17,OK
2026-01-15 21:49:56.160,SET,5598,1569,1,18,OK
2026-01-15 21:49:56.179,SET,9700,492,1,19,OK
2026-01-15 21:49:56.200,SET,4453,984,1,18,OK
2026-01-15 21:49:56.219,SET,5364,585,1,16,OK
2026-01-15 21:49:56.237,SET,2153,871,1,18,OK
2026-01-15 21:49:56.256,SET,5413,191,1,21,OK
2026-01-15 21:49:56.280,SET,899,1033,1,20,OK
2026-01-15 21:49:56.301,SET,8022,1613,1,19,OK
2026-01-15 21:49:56.321,SET,6280,1825,1,18,OK
2026-01-15 21:49:56.340,SET,4501,337,1,20,OK
2026-01-15 21:49:56.361,GET,4615,0,0,24,NOT_FOUND
2026-01-15 21:49:56.387,SET,3862,139,1,19,OK
2026-01-15 21:49:56.407,SET,8837,766,1,18,OK
2026-01-15 21:49:56.427,SET,9935,1525,1,19,OK
2026-01-15 21:49:56.447,SET,6846,543,1,20,OK
2026-01-15 21:49:56.468,SET,506,104,1,20,OK
